ADC,pulse,SPO2,label
494,73.0,98.7,normal
485,65.0,98.2,normal
504,67.4,99.3,normal
508,72.6,96.9,normal
522,75.8,97.5,normal
548,78.3,99.1,normal
509,65.4,97.8,normal
496,73.0,97.6,normal
550,61.9,97.8,normal
541,67.8,98.1,normal
518,111.9,95.8,stressed
523,59.5,98.3,normal
519,69.8,97.6,normal
496,73.5,99.1,normal
572,117.0,97.6,stressed
512,70.3,98.0,normal
506,71.3,99.1,normal
509,72.8,97.4,normal
535,73.1,99.2,normal
596,113.0,95.6,stressed
519,75.0,97.3,normal
527,63.4,98.3,normal
501,80.0,98.5,normal
512,57.9,99.9,normal
517,72.0,97.1,normal
516,69.5,98.6,normal
509,69.1,99.2,normal
523,77.2,96.3,normal
515,71.7,99.0,normal
515,69.6,96.3,normal
537,69.5,98.0,normal
563,101.4,95.3,stressed
531,74.0,97.5,normal
541,108.2,95.4,stressed
519,78.0,99.3,normal
510,66.3,98.9,normal
520,61.3,98.3,normal
531,74.0,97.5,normal
502,71.8,97.9,normal
508,71.8,97.0,normal
534,72.4,97.4,normal
556,78.5,99.1,normal
530,78.9,95.8,stressed
518,72.3,99.2,normal
509,93.4,97.9,stressed
524,75.5,98.1,normal
525,77.3,98.0,normal
577,100.0,95.7,stressed
508,72.5,99.5,normal
481,85.2,96.8,stressed
541,72.8,97.5,normal
515,77.6,98.5,normal
502,68.7,98.8,normal
538,113.3,96.6,stressed
531,66.7,99.8,normal
527,67.2,97.6,normal
557,105.4,95.8,stressed
517,63.2,98.7,normal
490,67.0,97.1,normal
527,79.8,98.0,normal
511,106.0,96.0,stressed
537,68.0,97.9,normal
516,66.5,97.6,normal
507,79.9,97.0,normal
519,72.1,97.6,normal
553,82.1,95.6,stressed
495,68.0,98.8,normal
532,86.4,99.5,normal
541,74.4,98.5,normal
534,86.2,97.3,normal
518,75.9,98.0,normal
523,93.3,95.5,stressed
518,78.1,97.6,normal
600,97.1,96.8,stressed
501,69.3,97.8,normal
547,85.0,97.7,normal
482,80.9,97.2,stressed
547,63.9,97.0,normal
512,75.7,97.8,normal
517,66.9,97.9,normal
529,76.3,98.3,normal
512,61.6,97.6,normal
535,61.9,97.8,normal
482,87.8,98.4,stressed
561,75.5,97.0,normal
518,67.9,99.0,normal
511,67.7,98.4,normal
495,105.6,97.6,stressed
528,75.0,98.2,normal
541,77.0,98.1,normal
525,80.1,96.1,normal
490,63.9,99.1,normal
538,108.5,98.9,stressed
508,72.7,97.0,normal
537,72.9,99.5,normal
504,65.1,98.0,normal
519,69.5,97.2,normal
495,76.8,97.9,normal
543,73.3,97.4,normal
587,100.9,97.1,stressed
587,90.5,97.9,stressed
516,86.0,98.9,normal
499,69.6,96.4,normal
518,84.2,96.8,normal
523,71.3,98.7,normal
519,69.3,99.2,normal
617,100.7,96.3,stressed
529,75.3,99.8,normal
537,70.5,99.1,normal
503,63.2,98.3,normal
530,71.9,98.3,normal
602,95.5,96.6,stressed
518,72.0,97.1,normal
529,74.6,98.9,normal
507,67.0,97.9,normal
499,73.6,99.3,normal
515,69.7,96.8,normal
525,120.2,96.1,stressed
532,70.9,99.3,normal
564,99.8,97.3,stressed
509,70.1,98.1,normal
538,70.1,97.8,normal
515,72.1,98.6,normal
499,77.8,98.4,normal
545,90.3,96.7,stressed
538,79.9,98.3,normal
525,70.4,98.3,normal
538,71.2,97.1,normal
528,65.0,98.4,normal
513,119.1,96.1,stressed
537,73.5,98.6,normal
503,125.2,95.7,stressed
537,68.0,98.1,normal
515,63.7,97.4,normal
510,66.8,98.0,normal
581,79.9,98.1,stressed
516,68.3,99.2,normal
532,86.7,96.5,normal
534,111.5,96.4,stressed
506,78.9,96.8,normal
518,66.2,98.8,normal
513,70.6,97.9,normal
479,73.0,96.6,stressed
568,101.2,97.4,stressed
598,91.5,95.6,stressed
513,70.8,98.0,normal
533,100.7,95.9,stressed
591,91.0,95.8,stressed
545,60.8,97.5,normal
525,94.9,96.8,stressed
496,66.5,98.7,normal
486,100.0,95.5,stressed
518,91.0,94.2,stressed
531,78.5,97.8,normal
523,73.6,97.6,normal
560,90.4,95.8,stressed
532,70.0,98.4,normal
602,102.2,96.7,stressed
538,71.5,98.4,normal
542,73.9,98.0,normal
536,97.2,96.9,stressed
527,75.5,97.4,normal
495,97.6,94.6,stressed
500,64.9,98.2,normal
550,90.4,95.6,stressed
504,68.9,98.6,normal
552,88.7,96.8,stressed
509,82.3,98.8,normal
507,68.4,97.2,normal
535,105.2,96.2,stressed
514,72.3,97.9,normal
492,119.5,96.9,stressed
535,67.5,97.5,normal
529,82.1,98.4,normal
500,71.2,99.0,normal
551,122.4,97.1,stressed
512,62.4,97.8,normal
515,104.0,97.5,stressed
518,75.0,98.0,normal
538,78.6,97.2,normal
540,72.3,98.4,normal
520,73.3,98.0,normal
487,76.8,98.4,normal
559,96.2,95.4,stressed
522,74.0,98.3,normal
558,109.3,96.3,stressed
529,83.1,97.4,normal
520,70.2,98.3,normal
505,109.5,97.5,stressed
516,73.3,98.6,normal
496,71.3,99.1,normal
521,73.9,96.8,normal
514,60.3,96.9,normal
530,74.3,97.6,normal
581,113.3,97.4,stressed
526,79.6,98.4,normal
522,66.4,96.9,normal
538,78.9,97.3,normal
581,96.9,97.4,stressed
521,67.5,98.4,normal
